DW_TEMPO;ds_invoice_date;Ano;Mes;Dia;Trimestre
c5d005239b299be8d7ddc3fa8678f054531da87aec8554ce1aa12bba04e36c2d;09/11/2017;"";"";"";""
2c17384e1ed64619ceadad980b6a8d392aadd43f8b3208e700295a84c2e566c5;12/12/2017;"";"";"";""
801dfbeb2cdc39eff613585a514ab0ae6889567ce20a0a4f640943d8fd5018d8;06/04/2017;"";"";"";""
44566bf77089e6ab2f984f4c45672a9b1386ffa6baacf8feb913fbc534ce2475;08/11/2018;"";"";"";""
0d853074266c3d2cc592e9c50941017b6d4f4760dc598f8e8c04797c4ccc7a98;01/02/2019;"";"";"";""
795fc8429c6a13cce3720c821ce016ea4ad180c62f28ac56752c79c60b87404a;19/07/2018;"";"";"";""
0d973aee3537a6a3cf2fcb975f154e40a99fb25f2042da6abd07bfd44152f4e1;17/05/2018;"";"";"";""
e085fe60f535850c0bb6dbd0c901bd49d5dc2b8e6f27dbacba4f6754a0aa2f28;19/01/2018;"";"";"";""
d88dd050100b988c48f729a7745982cca33234329340e7d8a7aca0c1b355f674;19/06/2017;"";"";"";""
351891d258cb685de9f0ba74c24c466b5fd764b4c62cd496acd44d240c34bf29;04/10/2017;"";"";"";""
c727de2cdda8762ce6e5c90449b72a186830be6a77d94cfd57fa4f1f95c9b1e8;13/01/2018;"";"";"";""
1b578fd9b60ec6cbbcec72d59c9ccf34cf89f0b273c9f4c6807c968e41ea3bd7;14/01/2018;"";"";"";""
20de040282e44b5b73c2214910e69f0bade51846fe29cc9809c1a6ff307b34c8;02/02/2018;"";"";"";""
853ee0a40204f35c4529b307cdc1054e60ef1b7ae937ca510594896ca660f389;07/05/2018;"";"";"";""
1a6fcc1d89925af75a0b61f1468aa6022098c479f885c89919d49d755ce7aac4;01/06/2017;"";"";"";""
d2affe913965456066b95684103ef23de59b76fcb26bbc81649bb4bdf6ea3d33;14/06/2017;"";"";"";""
dab0d21c4cfbb66f1f81aa29d5b8dc2c5d5263667f59efeb382541c8d8bafb03;15/10/2018;"";"";"";""
a43171376e1239d235737e0a20d5b6f705a30413d06ec22d5f06701ebe67862c;17/01/2017;"";"";"";""
a2dd5c42f11b3e2176f68cc5b2b4d3cf9f1b8ef1fedcc7c5a1b4687dd17c3bd5;09/05/2017;"";"";"";""
679fc90277ea55c60ed160d41be6d1c368c731f961c82131a3b7eef85f10c04a;08/06/2017;"";"";"";""
d220edbd850c6f87aff61e93b94efb1fd54287cac8e3b7a1bee59ac25484877c;25/05/2017;"";"";"";""
d5172d1af91db31edf52d6252d7564e3b8178662a6e3dafde46d7d449e580ea6;06/06/2017;"";"";"";""
17db0a881eefb29b9f080225694efc149612779a13a732e6da2c979756f5a098;06/09/2017;"";"";"";""
6639bf5498d23df78918167e3c8343bb24571ae01c24a3257118d05634496e30;29/11/2017;"";"";"";""
3e10111a32fb69651eb9065ff92c694d10edf8fb0b2a316e8745d6bfe448ce56;01/03/2019;"";"";"";""
2f0204725e044c6944d7b50c1a1e881db0107f0780cdc720cccb9f10ca6e1554;16/01/2017;"";"";"";""
e98cc395f1034291ef67e988beea983b9ddccc621ef151300e432f9cb2731c55;30/10/2017;"";"";"";""
c70cdc90053b04ec383b2aa8eec8eb13f6dd347c2191bcaf9466cf062438e8f2;06/02/2017;"";"";"";""
8b2220e6fcd970a04efb96dc7b4e50c92a0fab213c5379b9dfed43c933202e4c;17/03/2018;"";"";"";""
01f7956b0a1f119d2604dcea8263fbe407b39153de87c246ba891a1da76e466d;10/08/2017;"";"";"";""
60978a08fe433d0f1831a9d3972f6ac4910430a13382bd2f12443660b1126338;27/08/2018;"";"";"";""
7a16be6c208a8e4670169b925bded2271210368e1ada15014dbf2c2dc478a3e0;03/11/2017;"";"";"";""
7770405c756e5ac0afc0548edfa5eb97ef696b245cfc7b40a38872beeed5c99a;07/03/2019;"";"";"";""
50c35ccb23073e4cec1b3e6a9f5c579d981d5ba9ae70a16ae4476bd524aaaef9;28/06/2018;"";"";"";""
9cf7f720ff8efcabb519252978fee0758e418066d27c2ae9259db60c75c38997;16/01/2018;"";"";"";""
dea0110403d0a0e2923a5c77195026b6a192694def055596c05b3291d0c6bf2b;22/02/2017;"";"";"";""
cf16fff63be836c3a46f3324c04228b56bf8590b81fda1e3ee835a902bae4fdf;09/03/2017;"";"";"";""
503149d832fe1830de140a6ea343197be9d7af6f99e16aacb3f18f53dcae40c4;02/11/2017;"";"";"";""
031c6c4241377d73c43b8bba20680e65a36b7f19d59939d8d964bbaa5742ca2f;03/06/2018;"";"";"";""
e1b380b89911eb9e59c6c60ce920b80c1c883ee580ed92e947788d02d2bd3552;26/07/2017;"";"";"";""
fefdc488d550fb68588b4aa8acbdd978ddef7985c28f108664d1c7d959145d0a;08/11/2017;"";"";"";""
9c5597ca781d8e839c2e9e33d1432ba69f363224061e158a350258be1bd675e8;26/12/2017;"";"";"";""
e4b56cebc6e5d1f1eaf54d356b047ef82cc4ca7dbdd05ee1cbac6da33d0d11fe;02/02/2019;"";"";"";""
f6fd1975f16a73356372122584a67137b3fe1a8ef8119c76452497ff857ca876;17/08/2017;"";"";"";""
e7716b8e6c227b6e5e0d4b297a7ab6ea833c0c846409fa42c5aedbcd6098ce6e;12/10/2017;"";"";"";""
97ffae1c33e5d7dc36bafd017ef7d773c990723b221933eb21b98322dbc385e1;24/10/2017;"";"";"";""
f591a5c60533e5b054942243beaa832473bc11dcdab3e217c99ee36a320e9f1f;28/04/2017;"";"";"";""
bd711a378ce748a25bcf3dd68411db621e0e6f8b575b4241e1bfe62ac21e6c51;15/08/2017;"";"";"";""
60b9b71ae07a7e425039706e49f63831693d79e435c8e6a3b3c7644b76541198;06/10/2017;"";"";"";""
cef019a036144630bfe4dc2559e7340a60abcb841dc13bc473d32715c3caf3fc;11/10/2017;"";"";"";""
976b982bf2226326caaed6d17ee34f9c9e922ec8be9e7be02cb777f94511b11b;08/07/2018;"";"";"";""
c0df702f8e5b891b24d59a3acda6e811a7490896a25f595be0ad0024224b905f;22/01/2018;"";"";"";""
5f2f36d7933465ddd599bda42483fac08d49cecaa9ba7b17c82b6afec0626e79;24/12/2018;"";"";"";""
1203e97d796f44fb9a15d8d0961b9a434b75c5c3b6e9cdac287f07928be5b559;10/08/2018;"";"";"";""
f24500289fda9e49803a013013b7326a1e9ddf0e84d0db340fcbe70561e7c175;08/02/2017;"";"";"";""
5ed5ccc73eb913b899993c522397f17eda0f460278d2a64bbcc4304d049f366b;12/02/2017;"";"";"";""
0ac8073a603a1d7bf6142f51b19c00b1ebcf4732107a92572c74908d520f589b;04/06/2018;"";"";"";""
6b88862607c8e2f838a7b1ec1fb1384c767fcd5620d5b1495520b53d475ee717;22/06/2018;"";"";"";""
d0b3102f4cb2e4bd5b27472d511d2a2f0a8484b14df375786369c489b3171cbb;27/10/2017;"";"";"";""
6047dcde282e35ac9981726ae85cbbca1d08104546d9d6c9652afe1d94c699af;31/12/2017;"";"";"";""
32003d7060b6e7be4ba4f33844dbc192159e0920f258680a9b1261e3c2919751;21/11/2017;"";"";"";""
939db0d8546ac5bf6c3aaf3f31e5135367ca4f072a6f978d9ef363714afe1772;19/12/2017;"";"";"";""
311b888680ba55e10eb75c462d900675d394700b642e9f7d043355c01fc4366c;11/01/2019;"";"";"";""
b2e5cfcd71631ecdf72ad8fd002fc65765a216d204d6b8d512d3ab762af91ca6;19/05/2018;"";"";"";""
197d5a1303b7a8e1f7126f119dc31682d660a991875f073a11d338621158d966;01/11/2017;"";"";"";""
81a98a0e7b12ab81e3e4d65eb0e0dbec83e0a86bac87e3d750c7ebda914c1744;09/02/2019;"";"";"";""
89502dbc4667444c4f53b163899e6f27206b85db9aba343ff9eb4ecd346b923f;29/07/2018;"";"";"";""
b8525b93e08ef837894864af1335c5f0be48b32c41312ad70b172c8d697f5b7c;07/01/2019;"";"";"";""
b3362f0c8bb5e3376e553bd793d7d63a756c15c6d70012b9f75bb8ccfee5d4c2;17/02/2019;"";"";"";""
7ddd6fe6a767eec22b2a26253589d010701065584116b0d5cd4b839ef9459eb0;12/03/2018;"";"";"";""
d5aef5766483e023d81e47100df52f1720352b7df12fb24dfe3e3cebd5ad1f0f;12/01/2018;"";"";"";""
3d0be0931b010db76e273422cba75a161592ea2c4c9528a6d6a444462f3bc26f;20/10/2018;"";"";"";""
994b94b65ee33616c5b20b85680ccf1b84022111fb0a5da0cab9d3959d3a4d61;10/03/2017;"";"";"";""
3552adf5c6060826f0016255a0a4fe807232e9d1f657a130a739f935763787e2;09/06/2018;"";"";"";""
fde3175fa30d0c4d318ecacf9af0e7407f3823137bfff5edcbcb980d75d7269b;25/12/2017;"";"";"";""
b1e816f7acda6ee75f35211f0dd54bc85f6db4f0f67587b1f0641c45e0c35570;05/01/2019;"";"";"";""
13e765e422694d7fad536a7c23abd56c14e2fc1cf58fa30f50a3ad6d1c977bc0;05/07/2017;"";"";"";""
b43d711935e4ad88aff69f6ca59d2b05bd11aca05e1214d76ce6bda0865e43a6;24/08/2017;"";"";"";""
6739e184a1a0596da36fb512d975b489616751ca3d3666bc5c71f94a6ade4362;24/02/2019;"";"";"";""
fafe4157c934df3ade586c82a217529b4bab30eb4dd060d6d78b1b2c6a968616;02/05/2017;"";"";"";""
5672b00ae8fd8284a20ff0813b1570884864c07104cfa06846c28c49fa8c5f4e;23/08/2018;"";"";"";""
facd081f83b7ccc4b20a1a3599134031ace315d85afc5d72afd8d3a6bd794a43;11/05/2018;"";"";"";""
7377d6b5397acb2908350996bf78dff5a271508dea87eba05bfd69c10ac47476;28/07/2017;"";"";"";""
560592bafae0fa2250a9038c0c83c4867b310f01f2bd8be575a3711d68f242bb;11/10/2018;"";"";"";""
71a5e6934161c2d33af098793507590d69f6261aa9e0de012056bd500d39ced8;02/10/2017;"";"";"";""
f140f41bb07080ae41e765abeeb83f7d5245c159ba1bf9794c825575723739ec;25/08/2018;"";"";"";""
8518a956b29a83c2a8130435020f9e56e2b60d3064dd20f99a008951163c6f88;20/02/2017;"";"";"";""
27f0184a360d4464cd5801966260dcb1e09b647843917f4d8f133cba31304a76;18/05/2018;"";"";"";""
aaa61d5c67d476e1bd356b005bf2437e60b597cf53a8ebdcc5b6ee7c803370ef;14/09/2017;"";"";"";""
762ade34ddc5c049dec3b61cc7d0f989e3b9a794cd4e761c6b0f8b64ab0a17cf;04/08/2018;"";"";"";""
883eacebcea9e74ceb9f971d4e1873fc774e3c023ed769b945c80ae7cb67f1c9;29/08/2017;"";"";"";""
9aea888c00c4f7fcd6816861becad89eaf92b9737f01bbc49f457435feb89eeb;10/10/2017;"";"";"";""
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855;"";"";"";"";""
36fc65cc118dfb2814335c4ec9b348cd9fd891ec66172d6020cbf7ba1341d232;05/02/2018;"";"";"";""
8cfc176a9f58f8bd96e7102d9de80dfc0d5b4fa8bfabf2a2cc1c57cb479153c1;13/06/2017;"";"";"";""
6e580681e2001d0e90906057e88d3e0970dd0fcca7381d5d95b913ab5af8ab7b;30/11/2017;"";"";"";""
e0a24b5b7fe4af2ee62682f575976914310cc288ee5aaea0a20fe836f6ba2a9a;16/06/2018;"";"";"";""
2ec3fa18137efc122bdaf06250af30bad94a7a55ac315692826bb364b9de04a3;20/02/2018;"";"";"";""
a005c7b53912105d6afbe61a3e0d54c4d3d0b93764ba323b008fd275c4f121c7;27/10/2018;"";"";"";""
016171715e615558a3be2898fcbd0ad97751c2428ba585f16ffe6ebce8153a18;18/01/2017;"";"";"";""
7ee0c1f3f9afebf0abff6c8bc6869cb729429a64783d34701aa07c042998f283;10/12/2018;"";"";"";""
14430232d50bfb0a5ebbe885aafa63a35e5dd1564f3f9bb73534c3ea1eb7b366;28/03/2017;"";"";"";""
e07c8c38c24f08fa93e28761e7e8fbd299c3a2add0638cd9383accd2f0965260;23/06/2017;"";"";"";""
bc98eb2336bb85770f50ed6a7a9cda459cc5206bd6354e787b1a0ceba708de5f;05/08/2018;"";"";"";""
016859797bb6a11052084741b66b97cf2b5045e6d1610b4360797c7b15dd3952;22/11/2017;"";"";"";""
17b7760becad90005fda30a5dd404f1936c61a12d285da9868f11df648b1a28e;19/01/2017;"";"";"";""
41e5f1889b172601a9b51901d451163804f6e5178fe30f514c1250a6c66d03a5;23/06/2018;"";"";"";""
d409c7c1ad89e8d09092b5648a986ea2f8fbc2c72ff104c00771ab855eb57c3c;09/09/2018;"";"";"";""
f51d02d850e1df7d8febff41331653819a089f72b108427a53dfd7057e33b404;13/09/2017;"";"";"";""
96adeb510db7cf1a6e4bcd99228a35689e9e5e04e226117ee2e303991e1763d9;24/06/2018;"";"";"";""
42ed5d5ff21261b32c9e909816b59de89094efac5b24d6be09e288679acb1e5e;25/10/2017;"";"";"";""
37c4ff8c822e4479bbc9cac207fd0ebe2f80108f540c6582387de95829874088;14/11/2017;"";"";"";""
851000876ac6b4b623b9be7fe55fe4ef03fe1e02fc6a630e3b3733e958afde8e;01/03/2017;"";"";"";""
cad59bad2a3d1af8bcd826d9402313fbdf3079b9ac295601f901a7da1ed9deea;20/10/2017;"";"";"";""
0bfa075279f6ed08efbb399bad0aa9529a986f9cfab2a492b1db444d2657e7c9;01/12/2017;"";"";"";""
1796721bc83ae350826492dd11509c3a03fb76b512c47e78bcbdc79fb6e0d4b5;06/01/2018;"";"";"";""
